Iteration;InternalAgent;OuterAgent;IGGIAgent;FlawedAgent;PiersAgent;VanDenBerghAgent;Mirror
2275;4.33;5.41;3.05;0.0;7.44;6.33;14.02
2300;4.3;6.35;3.63;0.18;8.5;6.75;14.27
2325;4.51;5.69;3.35;0.08;7.53;6.99;14.39
2350;5.11;7.26;3.37;0.06;8.34;7.32;15.1
2375;2.47;1.79;1.7;0.12;4.64;2.85;2.0
2400;4.6;5.05;2.82;0.05;7.9;6.99;11.1
2425;4.52;5.59;3.2;0.08;7.69;7.99;14.2
2450;4.57;7.33;4.32;0.05;8.74;8.39;15.21
2475;5.06;7.51;4.22;0.0;8.19;8.89;14.66
2500;5.1;7.07;4.16;0.0;8.28;8.74;14.89
2525;4.89;7.45;4.05;0.1;8.92;8.09;15.32
2550;5.08;7.26;3.7;0.22;8.25;8.99;15.27
2575;4.94;7.08;4.23;0.0;8.96;7.85;15.0
2600;4.86;7.47;4.1;0.18;8.45;7.49;15.57
2625;4.82;7.47;3.93;0.21;8.19;8.81;15.54
2650;4.94;7.35;4.21;0.12;9.08;8.77;15.42
2675;5.03;7.54;3.81;0.03;8.32;7.74;15.57
2700;5.26;7.59;3.59;0.26;8.94;8.0;15.71
2725;4.34;7.76;3.5;0.07;8.43;8.88;15.16
2750;4.37;6.33;3.46;0.17;7.75;9.1;15.38
2775;4.36;7.59;4.43;0.0;8.74;9.06;15.81
2800;4.61;7.05;4.15;0.0;9.14;8.43;15.35
2825;4.65;7.44;3.53;0.06;8.46;8.42;15.18
2850;4.87;7.77;3.9;0.11;8.6;7.94;15.71
2875;4.29;7.34;4.57;0.08;8.68;6.97;15.74
2900;5.14;7.25;3.58;0.15;8.23;8.79;16.15
2925;4.52;7.49;4.25;0.07;8.76;8.91;16.37
2950;3.85;7.33;3.94;0.0;7.99;8.28;16.03
2975;4.16;7.97;4.03;0.07;9.03;8.43;15.38
3000;4.23;7.04;3.95;0.0;7.86;8.28;16.46
3025;4.57;7.59;4.09;0.1;8.42;9.07;16.5
3050;4.64;8.13;3.81;0.1;8.66;9.0;16.12
3075;4.57;7.58;3.83;0.0;8.97;8.53;16.56
3100;4.85;7.6;4.15;0.03;8.61;7.99;16.14
3125;4.51;7.88;4.29;0.05;9.03;8.61;9.43
3150;4.85;7.76;3.92;0.1;7.71;9.2;16.5
3175;4.52;7.73;3.89;0.1;8.61;9.08;16.07
3200;4.62;7.89;3.97;0.0;9.09;9.53;16.4
3225;4.57;8.54;3.94;0.11;8.8;9.08;16.2
3250;4.93;8.08;3.8;0.3;8.59;9.09;16.81
3275;4.32;8.22;4.01;0.0;9.11;9.11;16.84
3300;4.37;8.19;4.32;0.13;8.4;9.42;16.69
3325;4.25;7.92;4.31;0.12;8.26;9.26;16.42
3350;4.26;7.51;4.06;0.06;7.97;8.62;15.97
3375;4.47;7.31;4.44;0.0;8.23;8.56;16.53
3400;4.51;7.71;4.95;0.15;8.54;9.16;16.09
3425;3.64;7.92;4.03;0.14;7.8;8.11;16.32
3450;3.92;8.7;3.98;0.0;8.29;8.4;16.69
3475;4.38;7.54;4.37;0.0;8.48;8.15;17.09
3500;3.78;7.94;4.41;0.02;8.7;9.0;16.86
3525;3.78;7.31;4.07;0.08;8.52;7.87;17.15
3550;3.75;7.98;4.51;0.0;8.62;7.9;15.69
3575;4.27;7.79;4.33;0.0;8.53;9.01;16.6
3600;4.05;7.8;4.4;0.1;8.15;8.07;16.92
3625;4.49;7.65;4.35;0.0;9.74;9.11;16.97
3650;4.38;7.61;4.05;0.08;7.94;8.92;16.98
3675;3.74;7.75;4.52;0.0;8.37;8.86;16.83
3700;4.11;7.15;4.28;0.15;8.03;8.77;16.22
3725;4.2;6.8;4.15;0.0;8.69;8.37;16.56
3750;3.87;7.7;4.06;0.14;8.33;9.17;17.31
